Indoor Catalogue Seeding Report
============================================================

Total products to process: 360
============================================================
  SKIP: ARC Shape Table (LF 7021) - already exists
  [IMG] CREATED: Rectangular Shape Table                                 | SKU=LF 7022         | Rs.13990.00 | [OK]
  [IMG] CREATED: Triangle Shape Table                                    | SKU=LF 7023         | Rs.13990.00 | [OK]
  [IMG] CREATED: Dual Seating Desk (Wooden Storage)                      | SKU=LF 0431         | Rs. 9990.00 | [OK]
  [IMG] CREATED: Dual Seating Desk (Wire Storage)                        | SKU=LF 0447         | Rs.10990.00 | [OK]
  [IMG] CREATED: Single Seating Desk (Wire Storage)                      | SKU=LF 0448         | Rs. 6490.00 | [OK]
  [IMG] CREATED: Dual Seater Desk (Wire Storage and Cantilever Frame)    | SKU=LF 0429         | Rs.16990.00 | [OK]
  [IMG] CREATED: Single Desk (Wire Storage and Cantilever Frame)         | SKU=LF 0235         | Rs. 8490.00 | [OK]
  [IMG] CREATED: Dual Seating Desk (Adjustable, Twin Storage) - LF 0405  | SKU=LF 0405         | Rs. 9490.00 | [OK]
  [IMG] CREATED: Dual Seating Desk (Adjustable, Twin Storage) Large - LF | SKU=LF 0406         | Rs. 9490.00 | [OK]
  [IMG] CREATED: Dual Seating Desk (Adjustable, Wooden Top)              | SKU=LF 0407         | Rs.11990.00 | [OK]
  [IMG] CREATED: Dual Seating Desk (Adjustable, Storage Compartment) - L | SKU=LF 081          | Rs.15990.00 | [OK]
  [IMG] CREATED: Single Seater Desk (Adjustable, Storage Compartment) -  | SKU=LF 082          | Rs. 8990.00 | [OK]
  [IMG] CREATED: Pentagon Study Desk                                     | SKU=LF 029          | Rs. 7990.00 | [OK]
  [IMG] CREATED: Single Seater Desk (Metal Storage)                      | SKU=LF 028          | Rs. 7990.00 | [OK]
  [IMG] CREATED: Single Seater Desk (Adjustable, Metal Storage Box)      | SKU=LF 0331         | Rs. 6490.00 | [OK]
  [IMG] CREATED: Dual Seater Desk (Wire Book Rack + Cantilever Frame)    | SKU=LF 035          | Rs.16990.00 | [OK]
  [IMG] CREATED: Single Seater Desk (Wire Book Rack + Cantilever Frame)  | SKU=LF 025          | Rs. 8990.00 | [OK]
  [IMG] CREATED: Dual Seating Desk (Adjustable, Twin Storage) - Primary  | SKU=LF 155          | Rs. 9490.00 | [OK]
  [IMG] CREATED: Dual Seater Desk (Twin Plastic Storage) - Primary       | SKU=LF 157          | Rs. 7490.00 | [OK]
  SKIP: Dual Seating Desk (Adjustable, Twin Storage) - Primary (LF 158) - already exists
  [IMG] CREATED: Dual Seating Desk (Adjustable, Twin Plastic Storage) -  | SKU=LF 159          | Rs.11990.00 | [OK]
  [IMG] CREATED: Rectangular Dual-Seater Desk (Twin Metal Storage) - Pre | SKU=LF 0504         | Rs. 8990.00 | [OK]
  [IMG] CREATED: Trapezium Shaped Desk (Wire Storage + Cantilever Frame) | SKU=LF 0512         | Rs. 4290.00 | [OK]
  [IMG] CREATED: Desk and Chair (Adjustable) Set - Pre                   | SKU=LF 0513         | Rs. 7990.00 | [OK]
  [IMG] CREATED: Moon Table (Adjustable) - Pre                           | SKU=LF 311          | Rs. 9990.00 | [OK]
  [IMG] CREATED: Round Table (Adjustable) - Pre                          | SKU=LF 314          | Rs. 9990.00 | [OK]
  [IMG] CREATED: Rectangle Table (Adjustable) - Pre                      | SKU=LF 315          | Rs. 7990.00 | [OK]
  [IMG] CREATED: Moon Table (Adjustable) - Pre Premium                   | SKU=LF 211          | Rs. 9990.00 | [OK]
